,ingredient,count
0,국간장,24
1,안심,1
2,다진마늘,201
3,도라지,9
4,계란,90
5,설탕,210
6,고추장,69
7,소금,330
8,쌀,15
9,양지머리,2
10,다진파,109
11,미나리,40
12,숙주,10
13,콩나물,25
14,청포묵,2
15,참기름,200
16,고사리,9
17,찹쌀,14
18,콩,6
19,수수,2
20,팥,10
21,멥쌀,10
22,차조,1
23,통후추,11
24,당면,7
25,돼지고기,34
26,부추,20
27,청고추,73
28,홍고추,98
29,표고버섯,56
30,진간장,39
31,호박,19
32,밥,45
33,당근,95
34,고춧가루,121
35,파,15
36,쇠고기,83
37,마늘,94
38,깨소금,133
39,물,165
40,흑설탕,1
41,흰설탕,1
42,물엿,25
43,잣,13
44,깐밤,2
45,식용유,92
46,계핏가루,4
47,대추,18
48,간장,189
49,청동호박,1
50,흑임자,2
51,우유,14
52,감자,31
53,카레가루,4
54,완두콩,6
55,양파,136
56,쌈장,3
57,전분,4
58,오이,55
59,청피망,12
60,후춧가루,179
61,다시마,32
62,멸치,19
63,홍피망,10
64,실파,58
65,양념장,3
66,밀가루,55
67,애호박,16
68,냉면,3
69,식초,71
70,동치미국물,2
71,쇠고기육수,2
72,동치미무,2
73,배,16
74,국수,7
75,대파,127
76,다진생강,22
77,찹쌀가루,11
78,겨자,8
79,열무,3
80,상추,17
81,깻잎,28
82,오징어,33
83,녹말가루,27
84,계란흰자,4
85,청주,45
86,새우,31
87,홍합,11
88,죽순,13
89,멸칫국물,2
90,만두피,5
91,육수,26
92,김치,22
93,두부,55
94,북어,3
95,모시조개,12
96,무,61
97,다진쇠고기,10
98,미역,6
99,불린미역,2
100,쌀뜨물,6
101,생태,2
102,연어,1
103,방울토마토,7
104,올리브유,22
105,차이브,2
106,레몬즙,6
107,양송이버섯,16
108,모듬채소,1
109,페스토소스,1
110,검은껍질홍합,1
111,참소라살,1
112,중새우살,1
113,꼴뚜기,2
114,삶은 문어살,1
115,루콜라,1
116,가리비,1
117,쭈꾸미,3
118,샐러리,15
119,트레비스,3
120,소스,2
121,갑오징어,4
122,가재새우,1
123,재첩,1
124,오레가노,3
125,케이퍼,2
126,스위트마조람,1
127,바질,9
128,화이트와인,6
129,도미,1
130,그린올리브,1
131,블랙올리브,1
132,계란노른자,10
133,배즙,4
134,꼬치,6
135,느타리버섯,20
136,꿀,12
137,햇살담은간장,2
138,생강즙,34
139,피망,25
140,토마토케첩,18
141,날콩가루,3
142,생강,57
143,연겨자,1
144,파프리카,11
145,적양배추잎,1
146,실고추,9
147,우엉,4
148,토마토,13
149,참빛고운포도씨유,2
150,다진양파,7
151,잔멸치,3
152,갈치,3
153,닭,15
154,고추,7
155,양념간장,1
156,초고추장,2
157,들깻가루,4
158,칼국수면,1
159,무명실,2
160,파슬리가루,8
161,양배추,15
162,밤,17
163,파인애플,4
164,목이버섯,5
165,대구살,2
166,갈비,2
167,월계수잎,5
168,통깨,24
169,양파즙,4
170,돼기고기,6
171,버터,24
172,빵가루,6
173,통마늘,3
174,레드와인,3
175,은행,7
176,갓,9
177,새우젓,10
178,젓국,1
179,굴,10
180,된장,31
181,배추,14
182,파슬리,8
183,김칫국물,2
184,배추김치,8
185,청국장,2
186,바지락,11
187,순두부,1
188,동태,1
189,가래떡,10
190,흰콩,2
191,배춧잎,5
192,통북어,1
193,유부,4
194,단무지,5
195,해파리,3
196,게맛살,9
197,멸치젓,4
198,풋배추,1
199,총각무,1
200,배주머니,1
201,꽃게,4
202,술,7
203,다시다,4
204,아귀,2
205,싸리버섯,1
206,조기,2
207,쑥갓,19
208,명란,2
209,우거지,3
210,팽이버섯,28
211,곤약,2
212,어묵,6
213,낙지,11
214,선지,1
215,김,14
216,장조림,1
217,후추,19
218,양,3
219,밀국수,1
220,소 잡뼈,1
221,사골,4
222,도가니,2
223,까나리액젓,4
224,석이버섯,4
225,말린표고버섯,5
226,통생강,2
227,연근,1
228,조갯살,4
229,냉이,1
230,더덕,1
231,꽈리고추,1
232,마른오징어,1
233,마늘종,1
234,메주콩,4
235,장식용어묵,1
236,칵테일새우,2
237,돼지갈비,3
238,문어,1
239,고추냉이,2
240,참치,6
241,꽁치,5
242,통도라지,1
243,넛맥,2
244,햄,9
245,라면,3
246,치커리,7
247,맛술,22
248,다시물,7
249,와사비,7
250,흰후추,4
251,가는파,1
252,굵은파,1
253,도토리묵,1
254,마른고추,9
255,미림,12
256,고등어,8
257,마른새우,1
258,가지,12
259,골뱅이,2
260,소면,5
261,잣가루,2
262,베이컨,11
263,생크림,8
264,스파게티,6
265,수삼,3
266,닭고기,7
267,맛살,2
268,은박컵,1
269,후루츠칵테일,1
270,식빵,3
271,양상추,11
272,슬라이스치즈,3
273,피클,1
274,들깨,1
275,요리술,1
276,머스터드,10
277,마요네즈,15
278,컬리플라워,1
279,딸기,2
280,자몽,1
281,사과,5
282,오렌지마요네즈,1
283,앤다이브,1
284,훈제연어,3
285,파마산치즈치즈,1
286,레몬드레싱,1
287,시금치,12
288,레몬주스,1
289,홀토마토,2
290,프랑크소시지,2
291,곱창,2
292,우동면,4
293,미더덕,3
294,강력분,2
295,건포도,2
296,오렌지마멀레이드,1
297,검은깨,2
298,드라이이스트,1
299,무순,9
300,솔잎,1
301,쑥,4
302,깨,3
303,녹두,4
304,풋콩,1
305,포도씨유,3
306,토란,1
307,튀김가루,4
308,다진파슬리,1
309,누룽지,1
310,황파프리카,1
311,적파프리카,1
312,브로콜리,6
313,찬밥,4
314,쌀가루,2
315,슈가파우더,1
316,아몬드가루,1
317,삶은팥,1
318,고구마줄기,1
319,들기름,5
320,황설탕,4
321,호두,4
322,통계피,3
323,곶감,1
324,정종,9
325,감자전분,1
326,굴소스,15
327,떡국떡,2
328,다진풋고추,2
329,취나물,2
330,케일,2
331,겨자잎,2
332,건새우가루,1
333,청경채,1
334,청양고추,4
335,달래,3
336,국멸치,6
337,명란젓,1
338,봄동,2
339,옥수수,3
340,풋고추,6
341,정향,2
342,송이버섯,2
343,말린새우,1
344,김칫잎,2
345,근대잎,1
346,팥삶은물,1
347,말린 표고버섯,1
348,레몬,7
349,맛국물,1
350,왜된장,1
351,생새우,1
352,콘프레이크,2
353,불린쌀,2
354,새우살,1
355,생선살,1
356,대하,3
357,게,1
358,얼음물,1
359,고구마,6
360,다진청고추,1
361,다진홍고추,3
362,녹차분말,1
363,모짜렐라치즈,5
364,꽃상추,2
365,포도,1
366,사우어크라우트,1
367,오곡곡물,1
368,코다리,2
369,청어알,1
370,전복,2
371,광어,1
372,연어알,2
373,피조개,1
374,초밥,1
375,치즈,3
376,홍차티백,1
377,무즙,1
378,멸치다시물,2
379,비엔나소시지,1
380,액체육젓,2
381,인절미,1
382,바게트,3
383,신김치,4
384,사이다,1
385,조미술,5
386,피쉬소스,1
387,겨자가루,1
388,닭다리,2
389,땅콩가루,1
390,조청,2
391,매실장아찌,1
392,맛소금,1
393,랩,1
394,시금치즙,1
395,당근즙,1
396,고들빼기,1
397,멸치액젓,4
398,두릅,1
399,참나물,1
400,우스터소스,3
401,완두콩통조림,1
402,옥수수통조림,4
403,아스파라거스,2
404,풋마늘,1
405,땅콩버터,3
406,체리,2
407,오이피클,1
408,케첩,4
409,핫소스,3
410,다진대파,1
411,채썬쇠고기,2
412,춘권피,1
413,조미료,1
414,크림수프,1
415,쫄면,2
416,순대,1
417,흰떡,2
418,열무김치,1
419,이스트,1
420,다진고추,2
421,쌀국수,4
422,아욱,1
423,떡,1
424,해삼,1
425,두반장,3
426,닭안심,1
427,새송이버섯,5
428,숙주나물,2
429,파스타,2
430,닭육수,2
431,닭봉,1
432,오징어채,1
433,청장,1
434,칼국수,3
435,새우젓국,1
436,껍질콩,1
437,대구,1
438,기름,1
439,중국부추,1
440,닭살,1
441,보리,1
442,들깻잎,1
443,조림간장,1
444,토마토페이스트,4
445,파래,1
446,단호박,5
447,파마산치즈,2
448,키위,1
449,라이스페이퍼,3
450,다시마국물,2
451,치즈가루,1
452,일본된장,1
453,가쓰오브시,4
454,양겨자,1
455,페투치네,1
456,오보로,1
457,날치알,2
458,게살,2
459,초생강,2
460,박고지,1
461,아보카도,1
462,조,1
463,올리브,1
464,냉동만두,1
465,가쓰오브시국물,2
466,미원,1
467,흰살생선,1
468,쇠고기스톡,1
469,메밀국수,1
470,맛살조개,1
471,해초,1
472,장어대리,1
473,장어뼈,1
474,산초가루,1
475,장어,2
476,동태살,1
477,돈까스소스,1
478,타바스코,1
479,바나나,1
480,스위트콘,1
481,녹말물,1
482,고추기름,3
483,간수,1
484,우묵,1
485,잔새우,2
486,적채,2
487,사워크림,1
488,치자,1
489,튀김기름,2
490,깨소스,1
491,맛조개,1
492,폰즈소스,1
493,와사비소스,1
494,채썬생강,1
495,채썬마늘,1
496,고춧기름,1
497,생대구,1
498,채소,1
499,생밤,1
500,영양부추,1
501,쌈다시마,1
502,무말랭이,1
503,육회,1
504,계란후라이,1
505,고운고춧가루,3
506,굵은고춧가루,3
507,크림치즈,1
508,"무,래디쉬",1
509,간마늘,1
510,간생강,1
511,팔각,1
512,피시소스,1
513,고수잎,1
514,쇠꼬리,1
515,쇠뼈,1
516,얼갈이배추,1
517,굵은소금,2
518,쪽파,5
519,꽃소금,1
520,숯,1
521,메주,1
522,엿기름,1
523,시럽,1
524,호박씨,1
525,근대,1
526,순창콩된장,1
527,붉은갓,1
528,삭힌고추,1
529,고운소금,1
530,저민마늘,1
531,녹차국수,1
532,우무,1
533,서리태콩,1
534,참깨,1
535,닭발,1
536,통파,1
537,콩가루,1
538,전어젓갈,1
539,전어,1
540,타임,1
541,샐러드오일,1
542,소꼬리,1
543,고기산적,1
544,도라지나물,1
545,시금치나물,1
546,토란탕,1
547,멥쌀가루,1
548,미소된장,1
549,가다랑이포,1
550,액젓,2
551,돼지등갈비,1
552,바베큐소스,1
553,비트,1
554,절임무,1
555,닭가슴살,2
556,오렌지,1
557,허니머스터드,1
558,참치통조림,1
559,꽃빵,1
560,어장,1
561,시판용장국,1
562,새싹채소,1
563,초콜릿,1
564,플레인요구르트,1
565,과일통조림,1
566,발효초,2
567,구운김,1
568,다진돼지고기,2
569,미소,1
570,샐러드채소,1
571,메기,1
572,잉어,1
573,송어,1
574,그라나 빠다노,1
575,이태리파슬리,2
576,돼지 볼살,1
577,사라다나,1
578,이태리고추,1
579,로즈마리,1
580,닭 육수,1
581,다진 마늘,1
582,"홍피망, 청피망 각각",1
583,"후추, 식용유",1
584,월계수 잎,1
585,칠리,1
586,볶은 흑임자,1
587,인삼,1
588,참쌀,1
589,땅콩,1
590,다시마 우린 물,1
591,시래기,1
592,사과즙,1
593,절인 배추,2
594,소급,1
595,다진생각,1
596,감동젓,1
597,찐옥수수 알갱이,1
598,무지개고추,1
599,슈레드 치즈(모짜렐라치즈),1
600,국물용 다시마,1
601,스파게티면,1
602,파마르산치즈,1
603,소고기,1
604,버섯,2
605,돛나물,1
606,매실액,3
607,파뿌리,1
608,붉은 파프리카,1
609,다진쪽파,1
610,허니머스타드,2
611,노각,1
612,고구마잎,1
613,토마토소스,1
614,파마산치즈가루,1
615,피자치즈,1
616,호박잎,1
617,둥근호박,1
618,어린잎채소,3
619,모닝빵,1
620,슬라이스햄,1
621,라임,1
622,허브(민트),1
623,얼음,1
624,탄산수,1
625,아몬드,2
626,다진식파,1
627,에멘탈 치즈가루,1
628,견과류,1
629,백오이,1
630,허브솔트,1
631,삶은계란,1
632,참치캔,1
633,부침유,1
634,무채,1
635,연어살,1
636,부침가루,2
637,당근채,1
638,당근잎,1
639,노른자,1
640,건블루베리,1
641,중새우,1
642,콩비지,1
643,다짐육,1
